category,patch_file,dissimilarity_d1,dissimilarity_d3,dissimilarity_d5,correlation_d1,correlation_d3,correlation_d5,contrast_d1,contrast_d3,contrast_d5,energy_d1,energy_d3,energy_d5,homogeneity_d1,homogeneity_d3,homogeneity_d5,ASM_d1,ASM_d3,ASM_d5
tynk,tynk_patch_0256_0896.png,4.670451419027839,7.588855694129485,9.006230525425512,0.7288800254005215,0.3290067085362147,0.0899915215564476,38.261240186542906,94.63434774187431,127.99895854152902,0.04887106171316468,0.04030709835559052,0.03840226963336036,0.21208823650039738,0.13499821685286137,0.1096573335990239,0.0024034971382300126,0.001626555553592618,0.0014749404351880892
tynk,tynk_patch_0384_0000.png,3.6217586771111074,5.9919737063806915,7.1603654537902885,0.7372954041666098,0.31866874108793797,0.04994778575852198,23.823419892933558,61.806872956821515,86.00756377204361,0.06694189433975309,0.055233081279383346,0.05234717982516537,0.2661438119072428,0.17398775874367828,0.14589405172430273,0.0045052524597068815,0.003053745943846443,0.0027411134408541074
tynk,tynk_patch_0384_0128.png,3.530015204561661,5.46793096891534,6.229857298593306,0.68402702479898,0.2598734370163532,0.03892138812146817,22.594102746799248,52.719977233717486,68.14857552063505,0.07186840844826539,0.06142391495256207,0.059645551987566936,0.26761715696388055,0.1859696915963449,0.16531226077562092,0.0051958297661446546,0.003775871109550844,0.003558167178062479
tynk,tynk_patch_0384_0256.png,3.5098005000697503,5.628839884101784,6.440663866531516,0.7031600818283329,0.2743092262214887,0.057074543846206076,22.59657936112749,55.29513190507678,71.8603981504541,0.07164224170671231,0.0601279249786941,0.05806630633834924,0.27209895011605056,0.18120991824634675,0.1617824831690117,0.0051614677709740375,0.003618476593014595,0.003372281270727331
tynk,tynk_patch_0384_0384.png,3.7144355421523345,5.772222938712518,6.607552443545212,0.6736930358974779,0.2555882625770012,0.044902997946361045,24.814447070300407,56.804209026203054,73.30400208949331,0.06729063620684743,0.057165493532217684,0.05484651387089259,0.2573992093993487,0.17503845732589635,0.15351766620875928,0.0045529605246556176,0.0032703962326428686,0.0030087784407787266
tynk,tynk_patch_0384_0512.png,4.181499913781076,6.534172721403368,7.519936025708942,0.6843646539419364,0.2653685741454509,0.0371904502635199,31.08024717221314,72.49010664682524,94.81824476813726,0.06005179322362761,0.05104897742716484,0.04912735934750467,0.23287587361791348,0.15620956806561687,0.13756846952791746,0.003626215266516272,0.002608371781450969,0.0024140670740128694
tynk,tynk_patch_0384_0640.png,4.235280419779588,6.6200874472474105,7.548934156176228,0.6712254129097844,0.23854736162312623,0.02951588913368116,32.008635818052895,74.06074831900342,94.3702996315131,0.058722926119254795,0.049638354527937224,0.04797782493013852,0.23226079460819718,0.15359931366115706,0.1351926670944607,0.0034683758285578327,0.0024662515665496995,0.0023026074772689205
tynk,tynk_patch_0384_0768.png,4.433838602052204,7.056769404289485,8.095047390664783,0.700344379395454,0.28277634694245196,0.07641826624639389,34.61352707080413,83.07052130180769,107.10175982340763,0.05448295787648284,0.045742539533138844,0.04394583795603857,0.2215972726901374,0.14442596144849124,0.12486497168334457,0.0029881810191033013,0.0020946272202112537,0.0019318774136308843
tynk,tynk_patch_0384_0896.png,4.54148038374202,7.444813771573431,8.852607808441823,0.7330509970509179,0.32625773985674206,0.0701823577757644,35.99398635125398,90.9264811389831,125.93707845295792,0.05082473983269741,0.04176407995969052,0.03967809831988709,0.216116489304646,0.1357966888834417,0.11352260669970846,0.002597158740829783,0.0017463546763128728,0.0015747563190157284
tynk,tynk_patch_0512_0000.png,3.709604012958028,6.0327629716238285,7.087487485115642,0.7364588329508125,0.3376445699274013,0.10060583374960981,24.66093294686592,61.87710746173465,83.55766812112952,0.06452450535302381,0.05336659085038399,0.050900582784241394,0.2583616736208546,0.1676926558485234,0.14355232784995983,0.004191937991861702,0.002850342331675156,0.002591453531766783
tynk,tynk_patch_0512_0128.png,3.5998019144475792,5.839993236646505,6.712355512074564,0.7041049243982362,0.2589289748500523,0.0280288023247191,23.240011077678417,58.18346858465601,76.20020949790828,0.06860783547168925,0.05749370365804753,0.05537432598629331,0.26474378473563354,0.17285459117250834,0.15308355937842347,0.004738604880658351,0.0033087414573241486,0.003066950707277156
tynk,tynk_patch_0512_0256.png,3.6712123736747495,5.876907277494325,6.774526777424215,0.7068421455227906,0.2820843896513259,0.05588220633963063,23.99810342589437,58.830932945168755,77.05315218773528,0.06698791983750797,0.05624239247394782,0.05419142299865244,0.2591915386318042,0.17188381537653966,0.14940618278974305,0.004515107121487788,0.003165977294783767,0.0029375123696436874
tynk,tynk_patch_0512_0384.png,3.8897399240110997,6.188817834309639,7.150348572741386,0.7001306146048243,0.2807118355521784,0.056920019946800335,26.98809270665418,64.66678229324123,84.62669355764018,0.06259621140073945,0.05223622108020631,0.050106252252959636,0.24890748102199411,0.16340175081319988,0.14171303348431075,0.00394519237581226,0.002731654502672182,0.0025115673918863182
tynk,tynk_patch_0512_0512.png,4.134749761687024,6.4031794611362995,7.215834861424826,0.6609248800346403,0.22387042135798668,0.02509965067811214,30.500130297135613,69.61433608119168,87.57123388233576,0.061530370496886214,0.052456545104826904,0.05087478383808566,0.23493771068229655,0.15829622676331678,0.14390876809385716,0.0038074499858774266,0.0027537650475710418,0.002588709938811377
tynk,tynk_patch_0512_0640.png,4.144661910417573,6.744032871945063,8.080383330213687,0.748800089466741,0.36044443688615924,0.09987987802169387,30.452551619947013,77.50102866748529,109.286149773853,0.05732179381805642,0.047659166792295836,0.045168353995649245,0.23463835347039202,0.15415276044611714,0.12933527314896784,0.003308086638623426,0.0022741655849151353,0.0020412866734192984
tynk,tynk_patch_0512_0768.png,4.260430067735135,6.945359626952626,8.275581041592622,0.723057510346793,0.3062648584634289,0.04417727381039374,32.41872364994731,80.98870497527709,111.60403852707316,0.05569568839878814,0.045873054116018386,0.043623961083460186,0.23227368234617163,0.1476145514249022,0.12227264184480462,0.003121846039358308,0.002107236142869984,0.001903698367862919
tynk,tynk_patch_0512_0896.png,4.452825292369334,7.31694986929956,8.783941625450481,0.7413508538131983,0.34216210240628026,0.0764708028340524,34.91405317576262,89.09279336734672,125.72325679590934,0.05294212778879594,0.04386342685596528,0.04137520024321835,0.22028019331694287,0.14090069619839735,0.11911829064216073,0.0028179546720354153,0.0019264438359977174,0.001712799785919939
